uniprotkb:Q9DBG9	uniprotkb:Q82235	intact:EBI-1161647|ensembl:ENSMUSP00000047410	intact:EBI-1162486	psi-mi:tx1b3_mouse(display_long)|uniprotkb:Tax interaction protein 1(gene name synonym)|uniprotkb:Tax1bp3(gene name)|psi-mi:Tax1bp3(display_short)	psi-mi:q82235_9dela(display_long)|uniprotkb:tax(gene name)|psi-mi:tax(display_short)	psi-mi:"MI:0096"(pull down)	Kanamori et al. (2003)	pubmed:12874278	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:11908(humt-)|taxid:11908(Human T-lymphotropic virus 1)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-1162495	intact-miscore:0.44
uniprotkb:Q76353	uniprotkb:P61981	intact:EBI-6248077	intact:EBI-359832|ensembl:ENSP00000306330.3|uniprotkb:O70457|uniprotkb:P35214|uniprotkb:Q6FH52|uniprotkb:Q9UDP2|uniprotkb:Q9UN99	psi-mi:q76353_9hiv1(display_long)	psi-mi:1433g_human(display_long)|uniprotkb:YWHAG(gene name)|psi-mi:YWHAG(display_short)|uniprotkb:Protein kinase C inhibitor protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.35
uniprotkb:Q76353	uniprotkb:O75155	intact:EBI-6248077	intact:EBI-5656182|ensembl:ENSP00000387641.2|uniprotkb:B9EGM9|uniprotkb:E9KL24	psi-mi:q76353_9hiv1(display_long)	psi-mi:cand2_human(display_long)|uniprotkb:Cullin-associated and neddylation-dissociated protein 2(gene name synonym)|uniprotkb:KIAA0667(gene name synonym)|uniprotkb:TBP-interacting protein of 120 kDa B(gene name synonym)|uniprotkb:TIP120B(gene name synonym)|uniprotkb:p120 CAND2(gene name synonym)|uniprotkb:CAND2(gene name)|psi-mi:CAND2(display_short)|uniprotkb:Epididymis tissue protein Li 169(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q76353	uniprotkb:Q9Y3D0	intact:EBI-6248077	intact:EBI-744045|ensembl:ENSP00000387471.2	psi-mi:q76353_9hiv1(display_long)	psi-mi:cia2b_human(display_long)|uniprotkb:CIAO2B(gene name)|psi-mi:CIAO2B(display_short)|uniprotkb:CIAB(gene name synonym)|uniprotkb:FAM96B(gene name synonym)|uniprotkb:MIP18(gene name synonym)|uniprotkb:MSS19-interacting protein of 18 kDa(gene name synonym)|uniprotkb:Mitotic spindle-associated MMXD complex subunit MIP18(gene name synonym)|uniprotkb:Protein FAM96B(gene name synonym)|uniprotkb:CGI-128(orf name)|uniprotkb:HSPC118(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.35
uniprotkb:Q76353	uniprotkb:P31946	intact:EBI-6248077	intact:EBI-359815|ensembl:ENSP00000300161.4|ensembl:ENSP00000361930.3|uniprotkb:A8K9K2|uniprotkb:E1P616	psi-mi:q76353_9hiv1(display_long)	psi-mi:1433b_human(display_long)|uniprotkb:YWHAB(gene name)|psi-mi:YWHAB(display_short)|uniprotkb:Protein kinase C inhibitor protein 1(gene name synonym)|uniprotkb:Protein 1054(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.56
uniprotkb:Q76353	uniprotkb:Q14566	intact:EBI-6248077	intact:EBI-374900|uniprotkb:Q13504|uniprotkb:Q99859|uniprotkb:B2R6H2|ensembl:ENSP00000264156.2	psi-mi:q76353_9hiv1(display_long)	psi-mi:mcm6_human(display_long)|uniprotkb:MCM6(gene name)|psi-mi:MCM6(display_short)|uniprotkb:p105MCM(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.50
uniprotkb:Q76353	uniprotkb:Q7Z4H3	intact:EBI-6248077	intact:EBI-6163836|ensembl:ENSP00000381220.1|uniprotkb:Q5TDQ4|uniprotkb:Q6NZ49|uniprotkb:Q9BTT2|uniprotkb:Q9BV31|uniprotkb:Q9Y3D1	psi-mi:q76353_9hiv1(display_long)	psi-mi:hddc2_human(display_long)|uniprotkb:CGI-130(orf name)|uniprotkb:HDDC2(gene name)|psi-mi:HDDC2(display_short)|uniprotkb:C6orf74(gene name synonym)|uniprotkb:Hepatitis C virus NS5A-transactivated protein 2(gene name synonym)|uniprotkb:NS5ATP2(gene name synonym)|uniprotkb:HD domain-containing protein 2(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.50
uniprotkb:Q76353	uniprotkb:P15924	intact:EBI-6248077	intact:EBI-355041|uniprotkb:O75993|uniprotkb:Q14189|uniprotkb:Q9UHN4|ensembl:ENSP00000369129.3|uniprotkb:B2RTT2|uniprotkb:D7RX09	psi-mi:q76353_9hiv1(display_long)	psi-mi:desp_human(display_long)|uniprotkb:DSP(gene name)|psi-mi:DSP(display_short)|uniprotkb:250/210 kDa paraneoplastic pemphigus antigen(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174552|imex:IM-17346-6	intact-miscore:0.46
uniprotkb:Q9Q2G4	uniprotkb:Q9H4L5	intact:EBI-6248094	intact:EBI-1051317|uniprotkb:O14591|uniprotkb:O43357|uniprotkb:O43358|uniprotkb:Q8N702|uniprotkb:Q8N703|uniprotkb:Q8N704|uniprotkb:Q8NFH0|uniprotkb:Q8NFH1|uniprotkb:Q8NI12|uniprotkb:Q8NI13|uniprotkb:Q9BZF4|uniprotkb:Q9UED6|uniprotkb:B8ZZ79|uniprotkb:B8ZZP0|uniprotkb:A4D167|uniprotkb:A4D168|uniprotkb:A4D169|uniprotkb:A4D170|uniprotkb:A4D171|uniprotkb:A4D172|intact:EBI-28979334|ensembl:ENSP00000315410.2	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:osbl3_human(display_long)|uniprotkb:OSBPL3(gene name)|psi-mi:OSBPL3(display_short)|uniprotkb:KIAA0704(gene name synonym)|uniprotkb:ORP3(gene name synonym)|uniprotkb:OSBP3(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:O95714	intact:EBI-6248094	intact:EBI-1058922|uniprotkb:Q86SV7|uniprotkb:Q86SV8|uniprotkb:Q86SV9|uniprotkb:Q86YY3|uniprotkb:Q86YY4|uniprotkb:Q86YY5|uniprotkb:Q86YY6|uniprotkb:Q86YY7|uniprotkb:Q86YY8|uniprotkb:Q86YY9|uniprotkb:Q86YZ0|uniprotkb:Q86YZ1|intact:EBI-1104961|ensembl:ENSP00000261609.8|intact:EBI-28977852	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:herc2_human(display_long)|uniprotkb:HERC2(gene name)|psi-mi:HERC2(display_short)|uniprotkb:HECT domain and RCC1-like domain-containing protein 2(gene name synonym)|uniprotkb:HECT-type E3 ubiquitin transferase HERC2(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.46
uniprotkb:Q9Q2G4	uniprotkb:Q9NZN5	intact:EBI-6248094	intact:EBI-821440|uniprotkb:O15086|uniprotkb:Q6P526|ensembl:ENSP00000380942.2	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:arhgc_human(display_long)|uniprotkb:Leukemia-associated RhoGEF(gene name synonym)|uniprotkb:ARHGEF12(gene name)|psi-mi:ARHGEF12(display_short)|uniprotkb:KIAA0382(gene name synonym)|uniprotkb:LARG(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.46
uniprotkb:Q9Q2G4	uniprotkb:Q9NRF9	intact:EBI-6248094	intact:EBI-744901|uniprotkb:Q5W0U1|uniprotkb:Q8N758|uniprotkb:Q8NCE5|uniprotkb:Q9NR32|ensembl:ENSP00000363284.3|ensembl:ENSP00000363286.4	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:dpoe3_human(display_long)|uniprotkb:DNA polymerase epsilon subunit p17(gene name synonym)|uniprotkb:Chromatin accessibility complex 17 kDa protein(gene name synonym)|uniprotkb:Arsenic-transactivated protein(gene name synonym)|uniprotkb:POLE3(gene name)|psi-mi:POLE3(display_short)|uniprotkb:CHRAC17(gene name synonym)|uniprotkb:DNA polymerase II subunit 3(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:Q9UHF7	intact:EBI-6248094	intact:EBI-2556151|ensembl:ENSP00000220888.5|ensembl:ENSP00000492037.1|uniprotkb:Q9UHH6|uniprotkb:Q9NWE1|uniprotkb:Q08AU2|uniprotkb:B4E1Z5	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:trps1_human(display_long)|uniprotkb:Tricho-rhino-phalangeal syndrome type I protein(gene name synonym)|uniprotkb:Zinc finger protein GC79(gene name synonym)|uniprotkb:TRPS1(gene name)|psi-mi:TRPS1(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:P49591	intact:EBI-6248094	intact:EBI-1053431|uniprotkb:Q5T5C8|uniprotkb:Q9NSE3|uniprotkb:B2R6Y9|ensembl:ENSP00000234677.2	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:sysc_human(display_long)|uniprotkb:SARS1(gene name)|psi-mi:SARS1(display_short)|uniprotkb:SARS(gene name synonym)|uniprotkb:SERS(gene name synonym)|uniprotkb:Seryl-tRNA synthetase(gene name synonym)|uniprotkb:"Seryl-tRNA(Ser/Sec) synthetase"(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.46
uniprotkb:Q9Q2G4	uniprotkb:Q9NR33	intact:EBI-6248094	intact:EBI-867034|uniprotkb:Q53TR2|ensembl:ENSP00000420176.1	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:dpoe4_human(display_long)|uniprotkb:DNA polymerase epsilon subunit p12(gene name synonym)|uniprotkb:POLE4(gene name)|psi-mi:POLE4(display_short)|uniprotkb:DNA polymerase II subunit 4(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.50
uniprotkb:Q9Q2G4	uniprotkb:Q9Y262	intact:EBI-6248094	intact:EBI-373519|uniprotkb:Q53HQ1|uniprotkb:Q53HT4|uniprotkb:Q5QTR1|uniprotkb:Q5TI15|uniprotkb:Q6ICD2|uniprotkb:B2RDG6|uniprotkb:B4DYB2|uniprotkb:G8JLH4|ensembl:ENSP00000485663.1|ensembl:ENSP00000499067.1|intact:EBI-10970119	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:eif3l_human(display_long)|uniprotkb:EIF3L(gene name)|psi-mi:EIF3L(display_short)|uniprotkb:HSPC021(orf name)|uniprotkb:HSPC025(orf name)|uniprotkb:EIF3S6IP(gene name synonym)|uniprotkb:Eukaryotic translation initiation factor 3 subunit 6-interacting protein(gene name synonym)|uniprotkb:MSTP005(orf name)|uniprotkb:EIF3EIP(gene name synonym)|uniprotkb:Eukaryotic translation initiation factor 3 subunit E-interacting protein(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:Q9BZF3	intact:EBI-6248094	intact:EBI-2372709|uniprotkb:B4DTW1|uniprotkb:Q4ZG68|uniprotkb:Q53T68|uniprotkb:Q59H61|uniprotkb:Q7Z4Q1|uniprotkb:Q8N9T0|uniprotkb:Q96SR1|uniprotkb:C4AME4|uniprotkb:C4AMC0|uniprotkb:D3DPF6|uniprotkb:D3DPF7|uniprotkb:Q86V84|ensembl:ENSP00000190611.4|intact:EBI-28980578	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:osbl6_human(display_long)|uniprotkb:OSBPL6(gene name)|psi-mi:OSBPL6(display_short)|uniprotkb:ORP6(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:P23526	intact:EBI-6248094	intact:EBI-1053240|uniprotkb:Q96A36|uniprotkb:B3KUN3|uniprotkb:F5H737|uniprotkb:A8K307|uniprotkb:E1P5P2|ensembl:ENSP00000217426.2	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:sahh_human(display_long)|uniprotkb:S-adenosyl-L-homocysteine hydrolase(gene name synonym)|uniprotkb:AHCY(gene name)|psi-mi:AHCY(display_short)|uniprotkb:SAHH(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.46
uniprotkb:Q9Q2G4	uniprotkb:Q9UMS0	intact:EBI-6248094	intact:EBI-725252|uniprotkb:Q53QE5|uniprotkb:Q6VNZ8|uniprotkb:Q7Z5B1|uniprotkb:Q7Z5B2|uniprotkb:Q9Y322|uniprotkb:B4DUL9|ensembl:ENSP00000387219.3	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:nfu1_human(display_long)|uniprotkb:HIRA-interacting protein 5(gene name synonym)|uniprotkb:NFU1(gene name)|psi-mi:NFU1(display_short)|uniprotkb:CGI-33(orf name)|uniprotkb:HIRIP5(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:Q9BU89	intact:EBI-6248094	intact:EBI-6164171|ensembl:ENSP00000398882.1|ensembl:ENSP00000500806.1|uniprotkb:O75265	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:dohh_human(display_long)|uniprotkb:DOHH(gene name)|psi-mi:DOHH(display_short)|uniprotkb:Deoxyhypusine dioxygenase(gene name synonym)|uniprotkb:Deoxyhypusine monooxygenase(gene name synonym)|uniprotkb:HEAT-like repeat-containing protein 1(gene name synonym)|uniprotkb:HLRC1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.46
uniprotkb:Q9Q2G4	uniprotkb:Q9UGP4	intact:EBI-6248094	intact:EBI-2652871|uniprotkb:Q17RQ1|uniprotkb:Q9BQQ9|uniprotkb:Q9NQ47|ensembl:ENSP00000273317.4	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:limd1_human(display_long)|uniprotkb:LIMD1(gene name)|psi-mi:LIMD1(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:Q12948	intact:EBI-6248094	intact:EBI-1175253|uniprotkb:Q86UP7|uniprotkb:Q9BYM1|uniprotkb:Q9NUE5|uniprotkb:Q9UDD0|uniprotkb:Q9UP06|ensembl:ENSP00000493906.1	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:foxc1_human(display_long)|uniprotkb:Forkhead-related protein FKHL7(gene name synonym)|uniprotkb:Forkhead-related transcription factor 3(gene name synonym)|uniprotkb:FOXC1(gene name)|psi-mi:FOXC1(display_short)|uniprotkb:FKHL7(gene name synonym)|uniprotkb:FREAC3(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:O00303	intact:EBI-6248094	intact:EBI-711990|uniprotkb:Q6IB45|uniprotkb:Q8N978|uniprotkb:A8K0S2|ensembl:ENSP00000431800.1|ensembl:ENSP00000499218.1	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:eif3f_human(display_long)|uniprotkb:Eukaryotic translation initiation factor 3 subunit 5(gene name synonym)|uniprotkb:eIF-3-epsilon(gene name synonym)|uniprotkb:eIF3 p47(gene name synonym)|uniprotkb:EIF3F(gene name)|psi-mi:EIF3F(display_short)|uniprotkb:EIF3S5(gene name synonym)|uniprotkb:Deubiquitinating enzyme eIF3f(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:Q9UKK3	intact:EBI-6248094	intact:EBI-2623021|uniprotkb:Q5QNZ9|uniprotkb:O75903|uniprotkb:Q14682|uniprotkb:Q9H1M6|ensembl:ENSP00000371419.3	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:parp4_human(display_long)|uniprotkb:ADPRTL1(gene name synonym)|uniprotkb:KIAA0177(gene name synonym)|uniprotkb:PARPL(gene name synonym)|uniprotkb:193 kDa vault protein(gene name synonym)|uniprotkb:PARP-related/IalphaI-related H5/proline-rich(gene name synonym)|uniprotkb:"Vault poly(ADP-ribose) polymerase"(gene name synonym)|uniprotkb:PARP4(gene name)|psi-mi:PARP4(display_short)|uniprotkb:ADP-ribosyltransferase diphtheria toxin-like 4(gene name synonym)|uniprotkb:Poly [ADP-ribose] polymerase 4(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
uniprotkb:Q9Q2G4	uniprotkb:Q8TCU4	intact:EBI-6248094	intact:EBI-308651|uniprotkb:Q53S05|uniprotkb:Q580Q8|uniprotkb:Q86VP9|uniprotkb:Q9Y4G4|ensembl:ENSP00000482968.1|uniprotkb:A0A087WZY3	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:alms1_human(display_long)|uniprotkb:ALMS1(gene name)|psi-mi:ALMS1(display_short)|uniprotkb:KIAA0328(gene name synonym)|uniprotkb:Alstrom syndrome protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.46
uniprotkb:Q9Q2G4	uniprotkb:Q99613	intact:EBI-6248094	intact:EBI-353741|uniprotkb:A8K7Z0|intact:EBI-2876652|uniprotkb:O00215|uniprotkb:Q9BW98|uniprotkb:B2RXG3|uniprotkb:B4E1D5|uniprotkb:H3BRV0|intact:EBI-11017021|ensembl:ENSP00000332604.7|ensembl:ENSP00000378953.1|ensembl:ENSP00000457418.1|ensembl:ENSP00000457963.1	psi-mi:q9q2g4_9hiv1(display_long)|uniprotkb:ORF(gene name)|psi-mi:ORF(display_short)	psi-mi:eif3c_human(display_long)|uniprotkb:EIF3C(gene name)|psi-mi:EIF3C(display_short)|uniprotkb:EIF3S8(gene name synonym)|uniprotkb:Eukaryotic translation initiation factor 3 subunit 8(gene name synonym)|uniprotkb:eIF3 p110(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Jager et al. (2012)	imex:IM-17346|pubmed:22190034|psi-mi:"MI:0007"	taxid:11676(9hiv1)|taxid:11676(Human immunodeficiency virus 1)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6174875|imex:IM-17346-12	intact-miscore:0.56
