Protein1,Protein2,Taxonomy1,Taxonomy2,Taxonomy3,Taxonomy4,Miscore
P03366,P07858,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q8N163,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9Y266,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P33991,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P60228,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9BRX2,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,O15371,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9UBQ5,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9Y265,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q15084,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P31350,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.35
P03366,Q14152,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,Q9P2R7,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.46
P03366,P50213,taxid:11678(hv1b1),"taxid:11678(""Human immunodeficiency virus type 1 group M subtype B (isolate BH10)",taxid:9606(human),taxid:9606(Homo sapiens),0.35
F5HF68,Q09472,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
F5HF68,Q92793,taxid:868565(hhv8p),taxid:868565(Human herpesvirus 8),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,P40939,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,Q14204,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,Q96S55,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,Q8TEM1,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,P06576,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,Q9NQC3,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,Q71F56,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,Q9BSJ8,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,P68371,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,Q9NTJ5,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
P0DOE9,P68363,taxid:11259(hrsva),taxid:11259(human respiratory sy),taxid:9606(human),taxid:9606(Homo sapiens),0.35
